id,name,applicability
l10n_ie_tag_st0,ST0,taxes
l10n_ie_tag_st1,ST1,taxes
l10n_ie_tag_st2,ST2,taxes
l10n_ie_tag_pt0,PT0,taxes
l10n_ie_tag_pt1,PT1,taxes
l10n_ie_tag_pt2,PT2,taxes
l10n_ie_tag_pt8m,PT8M,taxes
l10n_ie_tag_pt8r,PT8R,taxes
l10n_ie_tag_pt8,PT8,taxes
l10n_ie_tag_pt5,PT5,taxes
l10n_ie_tag_st4,ST4,taxes
l10n_ie_tag_pt7,PT7,taxes
l10n_ie_tag_st11,ST11,taxes
l10n_ie_tag_pt11,PT11,taxes
l10n_ie_tag_st5,ST5,taxes
